reorganise reorganize
reorganisation reorganization
resynchronise resynchronize
resynchronisation resynchronization
revelled reveled
reveller reveler
revelling reveling
revitalise revitalize
revitalisation revitalization
revolutionise revolutionize
rhapsodise rhapsodize
regularise regularize
regularisation regularization
reinitialise reinitialize
ritualise ritualize
romanticise romanticize
rubberise rubberize
sanitise sanitize
satirise satirize
scandalise scandalize
schematise schematize
schematisation schematization
scrutinise scrutinize
sectionalise sectionalize
secularise secularize
secularisation secularization
sensationalise sensationalize
sensitise sensitize
sensitisation sensitization
sentimentalise sentimentalize
serialise serialize
serialisation serialization
sermonise sermonize
sermoniser sermonizer
sexualise sexualize
signalise signalize
singularise singularize
slenderise slenderize
socialise socialize
socialisation socialization
solemnise solemnize
solemnisation solemnization
soliloquise soliloquize
specialise specialize
specialisation specialization
spiritualise spiritualize
stabilise stabilize
stabilisation stabilization
stabiliser stabilizer
standardise standardize
standardisation standardization
sterilise sterilize
sterilisation sterilization
stigmatise stigmatize
stylise stylize
stylisation stylization
subsidise subsidize
subsidisation subsidization
suburbanise suburbanize
summarise summarize
symbolise symbolize
symbolisation symbolization
sympathise sympathize
sympathiser sympathizer
synchronise synchronize
synchronisation synchronization
synopsise synopsize
synthesise synthesize
synthesiser synthesizer
systematise systematize
systematisation systematization
tantalise tantalize
tantalisation tantalization
temporise temporize
temporiser temporizer
temporisation temporization
tenderise tenderize
tenderiser tenderizer
terrorise terrorize
terrorisation terrorization
theologise theologize
theorise theorize
tranquillise tranquilize
tranquilliser tranquilizer
tranquillisation tranquilization
traumatise traumatize
trivialise trivialize
tyrannise tyrannize
unanalysed unanalyzed
unappetising unappetizing
unauthorised unauthorized
uncivilised uncivilized
undercapitalised undercapitalized
unfertilised unfertilized
unionise unionize
unionisation unionization
unitise unitize
universalise universalize
unorganised unorganized
unpractised unpracticed
unpublicised unpublicized
unrealised unrealized
unrealisable unrealizable
unrecognised unrecognized
unrecognisable unrecognizable
unspecialised unspecialized
unsubsidised unsubsidized
unutilised unutilized
urbanisation urbanization
urbanise urbanize
utilise utilize
utilisable utilizable
utilisation utilization
valorise valorize
valorisation valorization
vandalise vandalize
vaporise vaporize
vaporisation vaporization
verbalise verbalize
verbalisation verbalization
victimise victimize
victimisation victimization
visualise visualize
visualisation visualization
vitalise vitalize
vitalisation vitalization
vocalise vocalize
vocalisation vocalization
volatilise volatilize
volatilisation volatilization
vulcanise vulcanize
vulcanisation vulcanization
vulgarise vulgarize
vulgarisation vulgarization
weatherise weatherize
westernise westernize
winterise winterize
womanise womanize
womaniser womanizer
cosy cozy
cosier cozier
cosiest coziest
cosily cozily
incognisant incognizant
accoutre accouter
accoutrement accouterment
accoutrement accouterment
amphitheatre amphitheater
calibre caliber
centilitre centiliter
centimetre centimeter
centre center
centres centers
centred centered
centring centering
centreboard centerboard
centrefold centerfold
centrepiece centerpiece
decilitre deciliter
decimetre decimeter
decametre decameter
epicentre epicenter
fibre fiber
fibreboard fiberboard
fibreglass fiberglass
goitre goiter
kilometre kilometer
laundrette launderette
lacklustre lackluster
litre liter
lustre luster
lustreless lusterless
manoeuvre maneuver
manoeuvrable maneuverable
manoeuvrability maneuverability
meagre meager
meagrely meagerly
meagreness meagerness
metre meter
millilitre milliliter
millimetre millimeter
mitre miter
nitre niter
outmanoeuvre outmaneuver
philtre philter
reconnoitre reconnoiter
reconnoitres reconnoitered
reconnoitred reconnoiters
reconnoitring reconnoitering
sabre saber
saltpetre saltpeter
sceptre scepter
sombre somber
sombrely somberly
sombreness somberness
spectre specter
spectres specters
theatre theater
arbour arbor
ardour ardor
armour armor
behaviour behavior
behavioural behavioral
behaviourism behaviorism
behaviourist behaviorist
belabour belabor
candour candor
clamour clamor
clangour clangor
colour color
coloured colored
colourfast colorfast
colourful colorful
colourize colorize
colourless colorless
demeanour demeanor
decolourise decolorize
discolour discolor
discoloured discolored
disfavour disfavor
dishonour dishonor
dishonourable dishonorable
endeavour endeavor
favour favor
favourable favorable
favourite favorite
 favoritism
fervour fervor
flavour flavor
flavourless flavorless
flavouring flavoring 
labour labor
labourers laborers
labourite laborite
malodour malodor
malodourous malodorous
misbehaviour misbehavior
